aar;bydel_id;bydel_navn;delbydel_id;delbydel_navn;selveier_alle;borettslag_andel_alle;leier_alle;selveier_uten_studenter;borettslag_andel_uten_studenter;leier_uten_studenter
2015;01;Bydel Gamle Oslo;0101;Lodalen;26.3;40.96;32.74;27.12;41.21;31.67
2015;01;Bydel Gamle Oslo;0102;Grønland;28.36;24.93;46.71;28.86;25.64;45.5
2015;01;Bydel Gamle Oslo;0103;Enerhaugen;18.72;41.31;39.97;18.94;42.1;38.96
2015;01;Bydel Gamle Oslo;0104;Nedre Tøyen;15.24;38.33;46.43;15.32;39.7;44.98
2015;01;Bydel Gamle Oslo;0105;Kampen;26.29;40.13;33.58;26.67;40.14;33.2
2015;01;Bydel Gamle Oslo;0106;Vålerenga;27.44;35.95;36.61;27.78;36.43;35.79
2015;01;Bydel Gamle Oslo;0107;Helsfyr;24.45;55.8;19.75;24.85;56.23;18.93
2015;02;Bydel Grünerløkka;0201;Grünerløkka vest;24.74;20.08;55.18;26.79;21.73;51.48
2015;02;Bydel Grünerløkka;0202;Grünerløkka øst;26.66;27.82;45.52;27.17;28.91;43.92
2015;02;Bydel Grünerløkka;0203;Dælenenga;19.75;32.14;48.1;20.13;33.1;46.77
2015;02;Bydel Grünerløkka;0204;Rodeløkka;30.71;25.99;43.29;31.56;27.14;41.3
2015;02;Bydel Grünerløkka;0205;Sinsen;23.94;37.68;38.39;24.68;38.67;36.65
2015;02;Bydel Grünerløkka;0206;Sofienberg;16.07;47.67;36.26;16.24;49.69;34.07
2015;02;Bydel Grünerløkka;0207;Hasle-Løren;39.64;37.4;22.96;40.25;38.35;21.39
2015;03;Bydel Sagene;0301;Iladalen;25.47;38.86;35.66;26.69;40.28;33.04
2015;03;Bydel Sagene;0302;Sagene;16.41;52.58;31.01;16.77;54.04;29.19
2015;03;Bydel Sagene;0303;Bjølsen;10.91;39.11;49.98;11.83;43.42;44.75
2015;03;Bydel Sagene;0304;Sandaker;29.79;32.87;37.34;30.1;33.68;36.22
2015;03;Bydel Sagene;0305;Torshov;22.07;41.12;36.81;22.48;42.08;35.44
2015;04;Bydel St. Hanshaugen;0401;Hammersborg;25.77;22.03;52.2;27.35;23.39;49.27
2015;04;Bydel St. Hanshaugen;0402;Bislett;39.71;15.7;44.59;41.76;16.52;41.72
