delbydelid;Antall husholdninger;Barn i husholdningen;År;Bydel;Delbydel;Husholdningstype
0301010101;2072.5551000000073;Ingen barn i HH;2008;Gamle Oslo;Lodalen;Aleneboende
0301010101;2264.203200000008;Ingen barn i HH;2009;Gamle Oslo;Lodalen;Aleneboende
0301010101;2393.302100000009;Ingen barn i HH;2010;Gamle Oslo;Lodalen;Aleneboende
0301010101;2570.2298000000087;Ingen barn i HH;2011;Gamle Oslo;Lodalen;Aleneboende
0301010101;2534.0;Ingen barn i HH;2012;Gamle Oslo;Lodalen;Aleneboende
0301010101;2708.0;Ingen barn i HH;2013;Gamle Oslo;Lodalen;Aleneboende
0301010101;2462.0;Ingen barn i HH;2014;Gamle Oslo;Lodalen;Aleneboende
0301010101;2725.0;Ingen barn i HH;2015;Gamle Oslo;Lodalen;Aleneboende
0301010101;2866.0;Ingen barn i HH;2016;Gamle Oslo;Lodalen;Aleneboende
0301010101;478.18170000000174;Ingen barn i HH;2008;Gamle Oslo;Lodalen;Par uten hjemmeboende barn
0301010101;499.2272000000018;Ingen barn i HH;2009;Gamle Oslo;Lodalen;Par uten hjemmeboende barn
0301010101;511.55770000000183;Ingen barn i HH;2010;Gamle Oslo;Lodalen;Par uten hjemmeboende barn
0301010101;577.0;Ingen barn i HH;2011;Gamle Oslo;Lodalen;Par uten hjemmeboende barn
0301010101;643.0;Ingen barn i HH;2012;Gamle Oslo;Lodalen;Par uten hjemmeboende barn
0301010101;699.0;Ingen barn i HH;2013;Gamle Oslo;Lodalen;Par uten hjemmeboende barn
0301010101;1009.0;Ingen barn i HH;2014;Gamle Oslo;Lodalen;Par uten hjemmeboende barn
0301010101;1116.0;Ingen barn i HH;2015;Gamle Oslo;Lodalen;Par uten hjemmeboende barn
0301010101;1221.0;Ingen barn i HH;2016;Gamle Oslo;Lodalen;Par uten hjemmeboende barn
0301010101;3.174000000000011;Ingen barn i HH;2008;Gamle Oslo;Lodalen;Par med små barn
0301010101;140.0;1 barn i HH;2008;Gamle Oslo;Lodalen;Par med små barn
0301010101;76.0;2 barn i HH;2008;Gamle Oslo;Lodalen;Par med små barn
0301010101;10.0;3 barn i HH;2008;Gamle Oslo;Lodalen;Par med små barn
0301010101;8.0;4 barn eller mer;2008;Gamle Oslo;Lodalen;Par med små barn
0301010101;188.5656000000007;1 barn i HH;2009;Gamle Oslo;Lodalen;Par med små barn
0301010101;92.0;2 barn i HH;2009;Gamle Oslo;Lodalen;Par med små barn
0301010101;12.0;3 barn i HH;2009;Gamle Oslo;Lodalen;Par med små barn
0301010101;9.0;4 barn eller mer;2009;Gamle Oslo;Lodalen;Par med små barn
0301010101;205.03230000000076;1 barn i HH;2010;Gamle Oslo;Lodalen;Par med små barn
0301010101;112.0363000000004;2 barn i HH;2010;Gamle Oslo;Lodalen;Par med små barn
0301010101;12.0;3 barn i HH;2010;Gamle Oslo;Lodalen;Par med små barn
0301010101;6.0;4 barn eller mer;2010;Gamle Oslo;Lodalen;Par med små barn
0301010101;216.0;1 barn i HH;2011;Gamle Oslo;Lodalen;Par med små barn
0301010101;122.0;2 barn i HH;2011;Gamle Oslo;Lodalen;Par med små barn
0301010101;12.0;3 barn i HH;2011;Gamle Oslo;Lodalen;Par med små barn
0301010101;7.0;4 barn eller mer;2011;Gamle Oslo;Lodalen;Par med små barn
0301010101;238.0;1 barn i HH;2012;Gamle Oslo;Lodalen;Par med små barn
0301010101;134.0;2 barn i HH;2012;Gamle Oslo;Lodalen;Par med små barn
0301010101;17.0;3 barn i HH;2012;Gamle Oslo;Lodalen;Par med små barn
0301010101;3.0;4 barn eller mer;2012;Gamle Oslo;Lodalen;Par med små barn
0301010101;236.0;1 barn i HH;2013;Gamle Oslo;Lodalen;Par med små barn
0301010101;138.0;2 barn i HH;2013;Gamle Oslo;Lodalen;Par med små barn
0301010101;18.0;3 barn i HH;2013;Gamle Oslo;Lodalen;Par med små barn
0301010101;3.0;4 barn eller mer;2013;Gamle Oslo;Lodalen;Par med små barn
0301010101;266.0;1 barn i HH;2014;Gamle Oslo;Lodalen;Par med små barn
0301010101;152.0;2 barn i HH;2014;Gamle Oslo;Lodalen;Par med små barn
0301010101;16.0;3 barn i HH;2014;Gamle Oslo;Lodalen;Par med små barn
0301010101;7.0;4 barn eller mer;2014;Gamle Oslo;Lodalen;Par med små barn
0301010101;300.0;1 barn i HH;2015;Gamle Oslo;Lodalen;Par med små barn
0301010101;149.0;2 barn i HH;2015;Gamle Oslo;Lodalen;Par med små barn
0301010101;29.0;3 barn i HH;2015;Gamle Oslo;Lodalen;Par med små barn
0301010101;11.0;4 barn eller mer;2015;Gamle Oslo;Lodalen;Par med små barn
0301010101;321.0;1 barn i HH;2016;Gamle Oslo;Lodalen;Par med små barn
0301010101;172.0;2 barn i HH;2016;Gamle Oslo;Lodalen;Par med små barn
0301010101;33.0;3 barn i HH;2016;Gamle Oslo;Lodalen;Par med små barn
0301010101;9.0;4 barn eller mer;2016;Gamle Oslo;Lodalen;Par med små barn
0301010101;29.51270000000011;1 barn i HH;2008;Gamle Oslo;Lodalen;Par med store barn
0301010101;27.136600000000097;2 barn i HH;2008;Gamle Oslo;Lodalen;Par med store barn
0301010101;17.0;3 barn i HH;2008;Gamle Oslo;Lodalen;Par med store barn
0301010101;3.0;4 barn eller mer;2008;Gamle Oslo;Lodalen;Par med store barn
0301010101;32.151400000000116;1 barn i HH;2009;Gamle Oslo;Lodalen;Par med store barn
0301010101;32.122500000000116;2 barn i HH;2009;Gamle Oslo;Lodalen;Par med store barn
0301010101;14.0;3 barn i HH;2009;Gamle Oslo;Lodalen;Par med store barn
0301010101;5.0;4 barn eller mer;2009;Gamle Oslo;Lodalen;Par med store barn
0301010101;42.09200000000015;1 barn i HH;2010;Gamle Oslo;Lodalen;Par med store barn
0301010101;34.02670000000012;2 barn i HH;2010;Gamle Oslo;Lodalen;Par med store barn
0301010101;14.0;3 barn i HH;2010;Gamle Oslo;Lodalen;Par med store barn
0301010101;38.0;1 barn i HH;2011;Gamle Oslo;Lodalen;Par med store barn
0301010101;30.0;2 barn i HH;2011;Gamle Oslo;Lodalen;Par med store barn
0301010101;14.0;3 barn i HH;2011;Gamle Oslo;Lodalen;Par med store barn
0301010101;40.0;1 barn i HH;2012;Gamle Oslo;Lodalen;Par med store barn
0301010101;33.0;2 barn i HH;2012;Gamle Oslo;Lodalen;Par med store barn
0301010101;12.0;3 barn i HH;2012;Gamle Oslo;Lodalen;Par med store barn
0301010101;3.0;4 barn eller mer;2012;Gamle Oslo;Lodalen;Par med store barn
0301010101;52.0;1 barn i HH;2013;Gamle Oslo;Lodalen;Par med store barn
0301010101;39.0;2 barn i HH;2013;Gamle Oslo;Lodalen;Par med store barn
0301010101;8.0;3 barn i HH;2013;Gamle Oslo;Lodalen;Par med store barn
0301010101;3.0;4 barn eller mer;2013;Gamle Oslo;Lodalen;Par med store barn
0301010101;65.0;1 barn i HH;2014;Gamle Oslo;Lodalen;Par med store barn
0301010101;46.0;2 barn i HH;2014;Gamle Oslo;Lodalen;Par med store barn
0301010101;15.0;3 barn i HH;2014;Gamle Oslo;Lodalen;Par med store barn
0301010101;3.0;4 barn eller mer;2014;Gamle Oslo;Lodalen;Par med store barn
0301010101;68.0;1 barn i HH;2015;Gamle Oslo;Lodalen;Par med store barn
0301010101;65.0;2 barn i HH;2015;Gamle Oslo;Lodalen;Par med store barn
0301010101;8.0;3 barn i HH;2015;Gamle Oslo;Lodalen;Par med store barn
0301010101;3.0;4 barn eller mer;2015;Gamle Oslo;Lodalen;Par med store barn
0301010101;89.0;1 barn i HH;2016;Gamle Oslo;Lodalen;Par med store barn
0301010101;70.0;2 barn i HH;2016;Gamle Oslo;Lodalen;Par med store barn
0301010101;11.0;3 barn i HH;2016;Gamle Oslo;Lodalen;Par med store barn
0301010101;4.0;4 barn eller mer;2016;Gamle Oslo;Lodalen;Par med store barn
0301010101;47.39400000000017;1 barn i HH;2008;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;18.672300000000067;2 barn i HH;2008;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;3.866400000000014;3 barn i HH;2008;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;3.0;4 barn eller mer;2008;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;46.485500000000165;1 barn i HH;2009;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;21.071400000000075;2 barn i HH;2009;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;6.0693000000000215;3 barn i HH;2009;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;0.0;4 barn eller mer;2009;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;51.930700000000186;1 barn i HH;2010;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;18.210300000000064;2 barn i HH;2010;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;6.767200000000024;3 barn i HH;2010;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;50.97960000000018;1 barn i HH;2011;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;27.7831000000001;2 barn i HH;2011;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;3.0929000000000113;3 barn i HH;2011;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;3.0;4 barn eller mer;2011;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;61.0;1 barn i HH;2012;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;22.0;2 barn i HH;2012;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;4.0;3 barn i HH;2012;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;54.0;1 barn i HH;2013;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;25.0;2 barn i HH;2013;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;3.0;3 barn i HH;2013;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;3.0;4 barn eller mer;2013;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;48.0;1 barn i HH;2014;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;19.0;2 barn i HH;2014;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;7.0;4 barn eller mer;2014;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;46.0;1 barn i HH;2015;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;20.0;2 barn i HH;2015;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;8.0;4 barn eller mer;2015;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;51.0;1 barn i HH;2016;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;23.0;2 barn i HH;2016;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;8.0;4 barn eller mer;2016;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;54.09080000000019;1 barn i HH;2008;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;11.38810000000004;2 barn i HH;2008;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;12.188300000000043;3 barn i HH;2008;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;60.33300000000021;1 barn i HH;2009;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;15.743000000000055;2 barn i HH;2009;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;5.942500000000021;3 barn i HH;2009;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;55.502100000000205;1 barn i HH;2010;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;15.343100000000055;2 barn i HH;2010;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;6.467700000000023;3 barn i HH;2010;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;4.456600000000016;4 barn eller mer;2010;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;74.94340000000027;1 barn i HH;2011;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;24.762600000000088;2 barn i HH;2011;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;3.156500000000011;3 barn i HH;2011;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;3.1114000000000113;4 barn eller mer;2011;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;65.0;1 barn i HH;2012;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;21.0;2 barn i HH;2012;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;7.0;3 barn i HH;2012;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;3.0;4 barn eller mer;2012;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;76.0;1 barn i HH;2013;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;26.0;2 barn i HH;2013;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;3.0;3 barn i HH;2013;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;3.0;4 barn eller mer;2013;Gamle Oslo;Lodalen;Mor/far med store barn
